ID,ParentID,organization_name,website_link,meetup_link,facebook_link,twitter_link,github_link,location,image_url,,,remark
1,,Open Democracy Lab,https://www.democracylab.org/index/?section=Home,,,,https://github.com/DemocracyLab,,,,,
2,,Code for All,https://codeforall.org/,,,,,,https://scontent-sjc3-1.xx.fbcdn.net/v/t31.0-8/p960x960/21741324_489829601378771_1951606481908231900_o.png?_nc_cat=109&_nc_sid=85a577&_nc_ohc=lr7GY_RmGscAX-p7CwV&_nc_ht=scontent-sjc3-1.xx&oh=08c9bd7edd6e74a845ef2706a8ef3e9f&oe=5E99819E,,,
3,2,Code for America,https://www.codeforamerica.org/,,,,https://github.com/codeforamerica,,https://brigade.codeforamerica.org/assets/images/brigade-logo-white.c3dc5499c8537a8345af66de76cc7598.svg,,,
4,3,Code for Anchorage,http://codeforanchorage.org/,,,,https://github.com/codeforanchorage,"Anchorage, AK",https://pbs.twimg.com/profile_images/378800000504854198/1313233c08c701c1f696b4305c24546e_400x400.png,,,
5,3,Code for Phoenix,,https://www.meetup.com/CodeforPhoenix/,,,,"Phoenix, AZ",https://pbs.twimg.com/profile_images/453820538226348032/Rzo0leCg_400x400.png,,,
6,3,Code for Tucson,,https://www.meetup.com/Code-for-Tucson/,,https://twitter.com/codefortucson,https://github.com/CodeForTucson,"Tucson, AZ",https://pbs.twimg.com/profile_images/555184331342102528/P1UNsXip_400x400.png,,,
7,3,Code for Fresno,,https://www.meetup.com/Code-for-Fresno/,,https://twitter.com/code4fresno,https://github.com/CodeForFresno,"Fresno, CA",https://pbs.twimg.com/profile_images/1090774055957848064/0THwokOY_400x400.jpg,,,
8,3,Code for Sacramento,http://codeforsacramento.org/,,https://www.facebook.com/code4sac/,https://twitter.com/code4sac,https://github.com/code4sac,"Sacramento, CA",http://codeforsacramento.org/images/codeforsac-logo.svg,,,
9,3,Code for San Francisco,https://codeforsanfrancisco.org/,,https://www.facebook.com/codeforsanfrancisco/,https://twitter.com/sfbrigade,https://github.com/sfbrigade,"San Francisco, CA",https://codeforsanfrancisco.org/img/logo.png,https://pbs.twimg.com/profile_images/611647656331378688/Rf_FNiDA_400x400.jpg,,
10,3,Code for San Jose,https://www.codeforsanjose.com/,,,,https://github.com/codeforsanjose,"San Jose, CA",https://www.codeforsanjose.com/assets/img/logo.jpg,,,
11,3,Code for Sonoma County,,https://www.meetup.com/Code-for-Sonoma-County/,,,,"Santa Rosa, CA",,,,
12,3,Hack for LA Brigade,https://www.hackforla.org/,,https://www.facebook.com/hackforla/,https://twitter.com/hackforla,https://github.com/hackforla,"Los Angeles, CA",https://pbs.twimg.com/profile_images/1005201967021371392/pF1VTXHs.jpg,,,
13,3,Open Oakland,https://openoakland.org/,,,https://twitter.com/openoakland,https://github.com/openoakland,"Oakland, CA",https://openoakland.org/assets/images/OpenOakland-logo.png,,,
14,3,Open San Diego,https://opensandiego.org/,,,https://twitter.com/opensandiego,https://github.com/opensandiego,"San Diego, CA",https://opensandiego.org/media/images/osd-logo-color.svg,,,
15,3,Open Walnut Creek,,https://www.meetup.com/open-walnut-creek/,,https://twitter.com/openwalnutcreek,,"Walnut Creek, CA",https://secure.meetupstatic.com/photos/event/a/2/d/f/600_478421695.jpeg,,,
16,3,OpenSMC,https://www.opensmc.tech/,,,https://twitter.com/opensmc,https://github.com/opensmc,"San Mateo County, CA",https://pbs.twimg.com/profile_images/699784019915898881/GtHQqcxi_400x400.png,,,
17,3,Code for Boulder,http://www.codeforboulder.org/,,,https://twitter.com/codeforboulder,https://github.com/CodeForBoulder,"Boulder, CO",http://static1.squarespace.com/static/5ab1bc5412b13f4dc838bc43/t/5ab1c7c1562fa7620d315119/1572483221596/?format=1500w,,,
18,3,Code for Denver,https://codefordenver.org/#/,,https://www.facebook.com/codefordenver/,https://twitter.com/codefordenver,https://github.com/codefordenver,"Denver, CO",https://codefordenver.org/images/logos/Horizontal%20Logo_red.png,,,
19,3,Code for Fort Collins,http://codeforfoco.org/,,https://www.facebook.com/CodeforFoCo/,https://twitter.com/codeforfoco,https://github.com/CodeForFoco,"Fort Collins, CO",http://codeforfoco.org/assets/images/logo.png,,,
20,3,Code for Connecticut,https://codeforconnecticut.org/,,,https://twitter.com/codeforconn,https://github.com/codeforct,"Hartford, CT",https://codeforconnecticut.org/img/CodeForCTClear.png,,,
21,3,Open Data Delaware,http://www.opendatadelaware.com/,,https://www.facebook.com/opendatade/,https://twitter.com/opendatade,https://github.com/OpenDataDE,"Wilmington, DE",http://www.opendatadelaware.com/images/ODD_white-01.png,,,
22,3,Code for DC,https://codefordc.org/,,,https://twitter.com/codefordc,https://github.com/codefordc,"Washington, DC",https://codefordc.org/images/logo/code-for-dc-logo-text-bottom.png,,,
23,3,Code for Fort Lauderdale,http://codeforftl.org/,,https://www.facebook.com/CodeForFTL/,,https://github.com/codeforftl,"Fort Lauderdale, FL",https://secure.meetupstatic.com/photos/event/5/c/6/2/global_446663650.jpeg,,,
24,3,Code for Miami,https://www.codeformiami.com/,,https://www.facebook.com/CodeForMiami/,https://twitter.com/codeformiami,https://github.com/Code-for-Miami,"Miami, FL",https://avatars2.githubusercontent.com/u/4633127?s=280&v=4,,,
25,3,Code for Orlando,http://www.codefororlando.com/,,https://www.facebook.com/codefororlando/,https://twitter.com/codefororlando,https://github.com/cforlando,"Orlando, FL",https://raw.githubusercontent.com/cforlando/brigade-resources/master/images/logo/cfo%20logo.jpg,,,
26,3,Code for Tallahassee,,https://www.meetup.com/code-for-tallahassee/,,,https://github.com/codefortallahassee,"Tallahassee, FL",https://secure.meetupstatic.com/photos/event/7/5/9/600_479881881.jpeg,,,
27,3,Code for Tampa Bay,https://codefortampabay.org/,,https://www.facebook.com/CodeforTampaBay/,,https://github.com/code-for-tb,"Tampa Bay, FL",https://pbs.twimg.com/profile_images/991359999254417415/ITXX5IXu_400x400.jpg,,,
28,3,Code for Atlanta,https://www.codeforatlanta.org/,,https://www.facebook.com/codeforatlanta/,https://twitter.com/codeforatlanta,https://github.com/codeforatlanta,"Atlanta, GA",https://pbs.twimg.com/profile_images/532633875252404224/N0KW9Tro_400x400.png,,,
29,3,Open Savannah,https://opensavannah.org/,https://www.meetup.com/opensavannah/,,https://twitter.com/opensavannah,https://github.com/opensavannah,"Savannah, GA",https://www.ffwd.org/wp-content/uploads/IMG_4361.png,,,
30,3,Code for Hawaii,http://www.codeforhawaii.org/,,https://www.facebook.com/codeforhawaii/,https://twitter.com/CodeforHawaii,https://github.com/CodeforHawaii,"Honolulu, HI",https://pbs.twimg.com/profile_images/699303487721484289/x1oBp3iw_400x400.png,,,
31,3,Code for Boise,https://www.openboise.org/,,,https://twitter.com/CodeForBoise,https://github.com/CodeForBoise,"Boise, ID",https://www.openboise.org/images/open-boise.svg,,,
32,3,Code for Chicago,https://codeforchicago.org/,,,https://twitter.com/CodeForChicago,https://github.com/Chicago,"Chicago, IL",https://codeforchicago.org/assets/images/normal/codeforchicagodecologo.png,,,
33,3,Code for Bloomington,https://bmghack.github.io/,,,https://twitter.com/CodeForBMG,https://github.com/BMGhack,"Bloomington, IN",,,,
34,3,Code for Indianapolis,,https://www.meetup.com/Code-for-Indianapolis/,,,,"Indianapolis, IN",,,,
35,3,Hack Michiana,http://www.hackmichiana.org/,,,https://twitter.com/HackMichiana,https://github.com/hackmichiana,"South Bend, IN",http://www.hackmichiana.org/media/img/Hack-Michiana-Logo_LG.png,,,
36,3,Code for Iowa,,https://www.meetup.com/Code-for-Iowa/,,https://twitter.com/codeforiowa,,"Iowa City, IA",https://secure.meetupstatic.com/photos/event/e/7/e/7/600_473159367.jpeg,,,
37,3,Code for Kentuckiana,https://codeforkentuckiana.org/,,,https://twitter.com/codeforkyana,https://github.com/CodeForKYana,"Louisville, KY",https://codeforkentuckiana.org/img/cfk-logo.png,,,
38,3,Code for New Orleans,http://codeforneworleans.org/,,,https://twitter.com/codefornola,https://github.com/codefornola,"New Orleans, LA",https://pbs.twimg.com/profile_images/898066995786137600/1CZ07Tr-_400x400.jpg,,,
39,3,Open Maine,http://openmaine.org/,,,https://twitter.com/Open_Maine,https://github.com/OpenMaine,"Portland, ME",http://openmaine.org/img/icon.5.png,,,
40,3,Code for Baltimore,https://www.codeforbaltimore.org/,,,https://twitter.com/CodeForBmore,https://github.com/CodeForBaltimore,"Baltimore, MD",https://www.codeforbaltimore.org/img/logo_full.png,,,
41,3,Code for Boston,https://www.codeforboston.org/,,,https://twitter.com/CodeForBoston,https://github.com/codeforboston,"Boston, MA",https://www.codeforboston.org/img/cfb-logo/cfb-logo-stacked-dark.png,,,
